elapsed_s,speed_kmh,rpm,power_w,resistance,heart_rate_bpm,cum_distance_m
0,22.37,83,67,3,90,32
10,24.94,90,83,4,96,97
20,25.27,94,87,4,102,161
30,25.43,95,88,4,115,241
40,25.59,96,88,4,120,306
50,25.75,99,91,4,122,370
60,28.65,96,119,7,124,451
70,29.13,98,125,7,126,531
80,29.77,105,134,7,128,612
90,30.58,113,142,7,111,708
100,30.26,110,139,7,123,789
110,30.58,111,144,7,99,869
120,31.54,114,157,8,50,950
130,31.86,113,160,8,128,1046
140,32.19,111,165,9,139,1127
150,32.19,111,165,9,141,1223
160,32.19,110,164,9,43,1304
170,31.54,109,154,8,115,1400
180,31.22,110,152,8,145,1481
190,30.9,108,146,8,121,1577
200,30.09,109,138,7,77,1658
210,29.61,112,132,6,133,1738
220,28.65,111,120,5,147,1819
230,27.2,108,105,4,143,1899
240,26.72,108,100,4,42,1979
250,26.72,108,100,4,140,2044
260,26.72,108,100,4,138,2124
270,26.72,108,100,4,138,2189
280,26.55,106,98,4,136,2269
290,26.72,108,100,4,137,2350
300,26.55,107,99,4,137,2414
310,26.55,106,98,4,134,2494
320,26.55,106,98,4,130,2559
330,27.84,106,111,5,129,2639
340,28.65,105,120,6,78,2720
350,29.61,108,132,7,118,2800
360,30.58,108,143,8,132,2881
370,31.22,109,150,8,97,2977
380,30.9,107,148,8,139,3058
390,31.22,110,151,8,143,3138
400,31.22,109,150,8,143,3235
410,31.22,110,152,8,144,3315
420,30.9,108,148,8,130,3396
430,29.93,107,136,7,88,3492
440,29.77,108,133,7,89,3573
450,28.97,110,123,6,144,3653
460,28.16,110,115,5,72,3734
470,27.04,108,103,4,145,3814
480,25.91,110,92,3,143,3879
490,25.75,111,90,3,127,3943
500,25.43,108,88,3,42,4023
510,25.91,113,92,3,126,4088
520,26.88,117,101,3,69,4168
530,27.36,115,107,4,98,4249
540,27.04,111,103,4,86,4313
550,27.04,111,103,4,140,4394
560,28,111,112,5,140,4474
570,28.32,109,118,5,84,4554
580,29.13,109,126,6,130,4635
590,29.13,109,126,6,146,4715
600,29.29,110,127,6,144,4796
610,29.29,110,127,6,142,4876
620,29.29,110,127,6,42,4957
630,29.13,109,126,6,143,5037
640,29.13,109,126,6,143,5118
650,29.13,108,125,6,144,5198
660,29.13,109,126,6,142,5279
670,29.29,110,127,6,144,5359
680,29.29,110,127,6,146,5440
690,29.13,109,126,6,146,5520
700,29.29,110,127,6,88,5601
710,29.29,111,128,6,144,5681
720,29.29,111,128,6,147,5761
730,29.45,111,128,6,146,5842
740,29.29,110,127,6,144,5922
750,29.29,110,127,6,146,6003
760,28.97,108,124,6,150,6083
770,28.16,110,115,5,146,6164
780,28.32,110,115,5,104,6244
790,28,109,114,5,149,6325
800,28.16,109,114,5,146,6405
810,27.52,111,108,4,120,6486
820,26.55,107,99,4,148,6550
830,26.55,107,99,4,88,6630
840,26.88,109,101,4,145,6695
850,26.72,108,100,4,142,6775
